[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000936s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001009s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015713s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015806s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000666s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000800s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000512s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000709s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002863s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000796s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000859s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000890s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001016s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000697s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000779s ]
[ 2014-10-31T11:22:40+08:00 ] /admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2014-10-31T11:33:51+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:33:51+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001972s ]
[ 2014-10-31T11:33:51+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002190s ]
[ 2014-10-31T11:33:51+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:33:51+08:00 ] /admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001588s ]
[ 2014-10-31T11:33:51+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001757s ]
[ 2014-10-31T11:33:51+08:00 ] /admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2014-10-31T11:34:00+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:34:00+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run CheckRoute Behavior [ RunTime:0.000877s ]
[ 2014-10-31T11:34:00+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ route_check ] --END-- [ RunTime:0.001034s ]
[ 2014-10-31T11:34:00+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:34:00+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000553s ]
[ 2014-10-31T11:34:00+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000632s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.045799s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000384s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000393s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_template ] --START--
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run LocationTemplate Behavior [ RunTime:0.000987s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_template ] --END-- [ RunTime:0.001065s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ParseTemplate Behavior [ RunTime:0.110016s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_parse ] --END-- [ RunTime:0.110169s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ContentReplace Behavior [ RunTime:0.001556s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run TokenBuild Behavior [ RunTime:0.001846s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001119s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ShowRuntime Behavior [ RunTime:0.001516s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006415s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_end ] --START--
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ShowPageTrace Behavior [ RunTime:0.001672s ]
[ 2014-10-31T11:34:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_end ] --END-- [ RunTime:0.001843s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000663s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000754s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000415s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000467s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000811s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000866s ]
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T11:34:19+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009046s ]
