[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:22+08:00 ] /admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --START--
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --START--
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --START--
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_parse ] --START--
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 179 行.
[ 2014-02-18T14:05:33+08:00 ] /admin.php/Index/index/username/ruby97 | NOTIC: [8] Undefined index: lastmodifytime 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 179 行.
